Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Andy Wilkinson,DF,Stoke City,,,,,
Jack Wilshere,MF,Arsenal,,,,,
Jack Wilshere,MF,Bolton,,,,,
Marc Wilson,DF,Portsmouth,,,,,
Cho Won-hee,DF,Wigan Athletic,,,,,
Jonathan Woodgate,DF,Tottenham,,,,,
Shaun Wright-Phillips,MF,Manchester City,,,,,
Hassan Yebda,MF,Portsmouth,,,,,
Joseph Yobo,DF,Everton,,,,,
Ashley Young,DF,Aston Villa,,,,,
Luke Young,DF,Aston Villa,,,,,
Pablo Zabaleta,DF,Manchester City,,,,,
Kamil Zayatte,DF,Hull City,,,,,
Boudewijn Zenden,DF,Sunderland,,,,,
Nabil El Zhar,MF,Liverpool,,,,,
Yuri Zhirkov,DF,Chelsea,,,,,
Ronald Zubar,DF,Wolves,,,,,
